ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #8
Addr: 0x032110
Size: 13x10
Unit: deg BTDC
RPM|mm3/Stk;0,00;5,00;10,00;15,00;20,00;25,00;30,00;40,00;50,00;60,00
900;-2,13;-2,13;-2,13;-2,13;-2,13;0,00;3,73;3,73;3,73;3,73
1000;-2,11;-2,11;-2,11;-2,11;-2,11;0,00;2,13;3,73;3,73;3,73
1250;-2,11;-2,11;-2,11;-2,11;-2,11;-1,05;0,02;1,59;4,80;4,80
1500;-2,11;-2,11;-2,11;-2,11;-2,11;-2,11;-1,59;1,59;4,78;5,86
1750;-1,05;-1,05;-2,11;-2,11;-2,11;-2,11;-1,08;1,59;4,78;6,40
2000;0,02;0,02;-1,05;-1,05;-1,05;-1,05;-1,05;1,59;5,32;7,48
2250;1,10;1,10;-1,05;-1,05;-1,05;-0,52;0,02;2,65;6,37;9,61
2500;2,16;2,16;1,08;0,54;0,54;0,56;0,56;3,73;8,51;12,80
3000;6,40;6,40;6,40;5,86;6,94;7,99;7,99;9,61;11,74;14,39
3500;8,53;8,53;8,53;8,53;9,61;9,61;12,80;13,33;15,47;17,60
4000;10,66;10,66;10,66;10,66;12,80;14,93;16,01;17,60;19,19;19,19
4500;11,74;11,74;11,74;11,74;12,80;16,01;19,19;20,79;21,87;21,87
5400;14,95;14,95;14,95;14,95;16,01;19,19;21,33;25,08;26,13;26,13
